序号,年份,批次,招聘单位,公告标题,发布时间,报名开始时间,报名截止时间,招聘对象,可申报单位数量限制,可申报岗位数量限制,志愿修改/撤回规则,申请材料,招聘流程,资格审查说明,笔试时间,笔试形式,笔试内容,分数占比,专业知识试卷类别说明,面试安排,录用/公示说明,联系方式,附件名称,附件链接,原文来源,是否涉及环境相关岗位,命中的环境关键词,命中原文片段,备注
11,2026,春季,鼎和财产保险股份有限公司,鼎和财产保险股份有限公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
12,2026,春季,深圳供电局有限公司,深圳供电局有限公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
13,2026,春季,南方电网能源发展研究院有限责任公司,南方电网能源发展研究院有限责任公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
14,2026,春季,南方电网用户生态运营有限责任公司,南方电网用户生态运营有限责任公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
15,2026,春季,中国南方电网有限责任公司北京分公司,中国南方电网有限责任公司北京分公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
16,2026,春季,广东电网有限责任公司,广东电网有限责任公司2026年春季校园招聘公告,2026-03-13,,2026年3月23日,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,2026年4月,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,2026年4-5月,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
17,2026,,广东电网有限责任公司,广东电网有限责任公司2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
18,2026,,中国南方电力调度控制中心,中国南方电力调度控制中心2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
19,2026,,中国南方电网有限责任公司用户生态运营公司,中国南方电网有限责任公司用户生态运营公司2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
20,2026,,广西电网有限责任公司,广西电网有限责任公司2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
21,2026,,海南电网有限责任公司,海南电网有限责任公司2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
22,2026,,南方电网资本控股有限公司,南方电网资本控股有限公司2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
23,2026,,南方电网综合能源股份有限公司,南方电网综合能源股份有限公司2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,是,综合能源,,注意：标题级关键词命中，需查看完整公告确认岗位
24,2026,,南方电网数字传媒科技有限公司（南方电网公司新闻中心）,南方电网数字传媒科技有限公司（南方电网公司新闻中心）2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
25,2026,,南方电网科学研究院有限责任公司,南方电网科学研究院有限责任公司2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
26,2026,,中国南方电网有限责任公司人才发展中心,中国南方电网有限责任公司人才发展中心2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
27,2026,,南方电网数字电网集团有限公司,南方电网数字电网集团有限公司2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
28,2026,,云南电网有限责任公司,云南电网有限责任公司2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
29,2026,,广州电力交易中心有限责任公司,广州电力交易中心有限责任公司2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,否,,,注意：标题级关键词命中，需查看完整公告确认岗位
30,2026,,南方电网储能股份有限公司,南方电网储能股份有限公司2026年校园招聘公告,2025-10-17,,,2026届高校毕业生,3家二级单位,,有且只有1次志愿撤回机会,,,,,计算机考试（闭卷）,综合知识+专业知识,综合60%+专业40%,按岗位类别划分,,,,,,系统抓取,是,储能,,注意：标题级关键词命中，需查看完整公告确认岗位
